"trail_name","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Angel's Rest to Devil's Rest Loop","(Intercept)",5.42075058776759,1.21232842349057,4.47135485956849,7.82866990315944e-05,2.95959304359614,7.88190813193904
"Angel's Rest to Devil's Rest Loop","med_suffer_index",-0.59093705488929,0.527051238275884,-1.12121367330887,0.269831008158591,-1.66090795230732,0.479033842528741
"Angel's Rest to Devil's Rest Loop","tot_sunny",-0.0155735015544558,0.0786624761273325,-0.197978786343398,0.844207082146594,-0.175266817996357,0.144119814887445
"Angel's Rest to Devil's Rest Loop","tot_cloudy",-0.0321730939864715,0.0560330206787986,-0.574180966807042,0.569517422918662,-0.145926173510316,0.0815799855373729
"Angel's Rest to Devil's Rest Loop","tot_rainy",0.0739525763489024,0.0712465455126927,1.03798122164011,0.306396945578316,-0.0706856005568638,0.218590753254669
"Angel's Rest to Devil's Rest Loop","tot_snowy",-0.257165056890745,0.201591835745878,-1.27567198313984,0.210473331878856,-0.666418240908993,0.152088127127503
"Angel's Rest to Devil's Rest Loop","tot_wildlife",-0.0638704893320728,0.0687620581020403,-0.928862385667564,0.359322560418551,-0.203464888647835,0.0757239099836899
"Angel's Rest to Devil's Rest Loop","tot_bear",-0.0550647094438895,0.222462145169001,-0.247523952455182,0.805949100192887,-0.506686874087056,0.396557455199277
"Angel's Rest to Devil's Rest Loop","year_month_sin12_K1",0.140055517425685,0.128386510544017,1.09088966459345,0.282774736617266,-0.120582955510119,0.400693990361489
"Angel's Rest to Devil's Rest Loop","year_month_cos12_K1",-0.188149242113183,0.186106760248582,-1.01097478598774,0.318966893066283,-0.565966051594815,0.189667567368449
"Angel's Rest to Devil's Rest Loop","year_month_sin12_K2",0.114614537634335,0.108500294602217,1.05635231733272,0.298044476499014,-0.105652770655124,0.334881845923793
"Angel's Rest to Devil's Rest Loop","year_month_cos12_K2",-0.111189828895732,0.1172092959528,-0.948643433030333,0.349306560771444,-0.349137349874152,0.126757692082687
"Dog Mountain","(Intercept)",3.80160224113633,0.815572315336378,4.66126935606977,4.20950601473231e-05,2.14754492103689,5.45565956123578
"Dog Mountain","med_suffer_index",-0.0874267270301799,0.307118424109146,-0.284667802929041,0.777529846181634,-0.710291760556508,0.535438306496148
"Dog Mountain","tot_sunny",0.0253079912300999,0.0310127129477892,0.816052154892307,0.419837355129012,-0.0375887058534401,0.0882046883136399
"Dog Mountain","tot_cloudy",0.0186379240181871,0.0286030585939102,0.651605979723977,0.518793875077659,-0.0393717675258144,0.0766476155621886
"Dog Mountain","tot_rainy",-7.98385131141061e-05,0.0295027380699305,-0.00270613910223737,0.997855756575621,-0.0599141646052377,0.0597544875790095
"Dog Mountain","tot_snowy",0.0894917759384026,0.140174662700332,0.638430471059664,0.527234395998512,-0.194795616573599,0.373779168450404
